combination,count,payout_per_hit,probability,rtp_contribution
CHERRY | CHERRY | CHERRY,100,16,0.0125,0.2
CHERRY | CHERRY | LEMON,180,8,0.0225,0.18
CHERRY | LEMON | LEMON,405,3,0.050625,0.151875
BELL | BELL | BELL,36,32,0.0045,0.144
BAR | BAR | BAR,8,80,0.001,0.08
CHERRY | CHERRY | BELL,60,8,0.0075,0.06
SEVEN | SEVEN | SEVEN,1,321,0.000125,0.040125
CHERRY | CHERRY | BAR,40,8,0.005,0.04
CHERRY | BELL | BELL,60,3,0.0075,0.0225
CHERRY | CHERRY | SEVEN,20,8,0.0025,0.02
CHERRY | BAR | BAR,20,3,0.0025,0.0075
